@relation pacman_data

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute LegalStop {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute NearestFoodDist numeric
@attribute NumOfFood numeric
@attribute Score numeric
@attribute Direction {North, South, East, West, Stop}

@data
 1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,11,7,7,18,14,2,0,Stop
 1,11,0,1,1,0,1,6,5,7,9,8,11,14,6,11,8,7,19,14,2,-1,Stop
 1,11,0,1,1,0,1,7,5,7,8,9,11,14,5,12,9,8,20,14,2,-2,Stop
 1,11,0,1,1,0,1,8,5,7,9,9,11,14,4,13,8,8,19,14,2,-3,Stop
 1,11,0,1,1,0,1,9,5,6,9,9,11,14,5,14,7,8,18,14,2,-4,Stop
 1,11,0,1,1,0,1,9,5,6,8,9,11,13,5,14,8,8,19,14,2,-5,Stop
 1,11,0,1,1,0,1,9,4,7,8,10,11,14,5,15,9,9,20,14,2,-6,Stop
 1,11,0,1,1,0,1,9,5,7,9,11,11,15,5,14,8,10,21,14,2,-7,Stop
 2,11,0,0,1,1,1,10,5,7,8,11,11,15,4,14,8,9,20,13,2,-8,East
 3,11,0,0,1,1,1,11,5,7,8,11,10,15,4,14,7,9,20,12,2,-9,East
 4,11,0,0,1,1,1,11,5,7,7,11,11,15,3,13,7,7,19,11,2,-10,East
 5,11,0,1,1,1,1,12,5,7,8,12,11,15,3,13,5,7,17,10,2,-11,East
 5,10,1,1,1,0,1,12,5,7,9,12,11,15,4,12,3,8,15,9,2,-12,South
 5,9,1,1,1,1,1,12,5,8,9,12,11,15,5,11,3,9,13,8,2,-13,South
 5,8,1,1,1,1,1,12,5,8,8,13,11,14,5,10,3,11,11,7,2,-14,South
 6,8,1,1,1,1,1,12,5,9,8,13,11,14,6,9,3,10,9,6,2,-15,East
 7,8,1,1,1,1,1,12,5,9,8,12,11,14,7,8,2,8,7,5,2,-16,East
 8,8,1,1,1,1,1,12,5,9,8,13,11,13,7,7,1,8,5,4,2,-17,East
 9,8,1,1,1,1,1,13,5,3,1,14,11,12,7,7,-1,8,4,3,2,182,East
 9,9,0,1,1,1,1,14,5,3,1,14,11,12,7,9,-1,7,4,4,2,181,North
 9,9,0,1,1,1,1,14,4,3,1,15,11,12,8,10,-1,8,3,4,2,180,North
 9,9,0,1,1,1,1,14,3,3,1,16,11,12,9,11,-1,9,2,4,2,179,North
 10,9,1,1,1,1,1,14,4,3,1,17,11,11,9,9,-1,9,-1,3,2,378,East
 10,10,1,1,1,0,1,15,4,3,1,18,11,7,1,11,-1,9,-1,4,2,377,North
 10,11,0,1,1,1,1,15,5,3,1,18,11,7,1,11,-1,8,-1,5,2,376,North
 10,11,0,1,1,1,1,16,5,3,1,17,11,7,1,12,-1,7,-1,5,2,375,North
 11,11,0,1,1,1,1,17,5,3,1,16,11,7,1,12,-1,5,-1,4,2,374,East
 12,11,0,0,1,1,1,17,5,3,1,15,11,7,1,11,-1,3,-1,3,2,373,East
 13,11,0,0,1,1,1,17,5,3,1,15,11,7,1,10,-1,2,-1,2,2,372,East
 14,11,0,1,1,1,1,17,4,3,1,16,11,7,1,10,-1,2,-1,1,2,371,East
 15,11,0,0,1,1,1,17,3,3,1,16,11,7,1,10,-1,1,-1,2,2,370,East
 16,11,0,0,1,1,1,16,3,3,1,5,1,7,1,8,-1,-1,-1,3,2,569,East
 17,11,0,0,1,1,1,15,3,3,1,5,1,7,1,10,-1,-1,-1,4,2,568,East
 18,11,0,1,0,1,1,16,3,3,1,5,1,7,1,10,-1,-1,-1,5,2,567,East
 17,11,0,0,1,1,1,16,4,3,1,5,1,7,1,8,-1,-1,-1,4,2,566,West
 16,11,0,0,1,1,1,16,3,3,1,5,1,7,1,8,-1,-1,-1,3,2,565,West
 15,11,0,0,1,1,1,17,3,3,1,5,1,7,1,10,-1,-1,-1,2,2,564,West
 14,11,0,1,1,1,1,16,3,3,1,5,1,7,1,10,-1,-1,-1,1,2,563,West
 14,10,1,1,0,0,1,17,3,3,1,5,1,7,1,10,-1,-1,-1,8,1,662,South
 14,9,1,1,1,1,1,16,3,3,1,5,1,7,1,8,-1,-1,-1,7,1,661,South
 14,8,1,1,1,1,1,16,4,3,1,5,1,7,1,6,-1,-1,-1,6,1,660,South
 14,7,1,1,1,1,1,16,3,3,1,5,1,7,1,6,-1,-1,-1,5,1,659,South
 14,6,1,1,0,0,1,16,4,3,1,5,1,7,1,4,-1,-1,-1,4,1,658,South
 14,5,1,1,1,1,1,16,3,3,1,5,1,7,1,4,-1,-1,-1,5,1,657,South
 14,4,1,1,1,1,1,16,4,3,1,5,1,7,1,2,-1,-1,-1,6,1,656,South
 15,4,1,1,1,1,1,16,5,3,1,5,1,7,1,2,-1,-1,-1,7,1,655,East
 1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,11,7,7,18,14,2,0,Stop
 1,11,0,1,1,0,1,7,5,6,9,7,11,14,6,12,7,6,19,14,2,-1,Stop
 1,11,0,1,1,0,1,7,5,6,10,6,11,14,5,12,6,5,18,14,2,-2,Stop
 1,11,0,1,1,0,1,8,5,5,10,6,10,14,6,13,5,6,17,14,2,-3,Stop
 2,11,0,0,1,1,1,7,5,5,9,6,9,14,7,11,5,6,17,13,2,-4,East
 3,11,0,0,1,1,1,7,4,5,10,5,9,15,7,11,3,4,17,12,2,-5,East
 4,11,0,0,1,1,1,7,5,5,11,6,9,16,7,9,1,4,15,11,2,-6,East
 5,11,0,1,1,1,1,8,5,3,1,7,9,15,7,9,-1,4,13,10,2,193,East
 5,10,1,1,1,0,1,8,4,3,1,6,9,15,8,9,-1,2,11,9,2,192,South
 5,9,1,1,1,1,1,8,5,3,1,6,8,14,8,7,-1,2,11,8,2,191,South
 6,9,1,1,1,1,1,8,6,3,1,5,8,14,7,5,-1,2,9,7,2,190,East
 7,9,0,1,1,1,1,8,7,3,1,5,7,13,7,3,-1,4,8,6,2,189,East
 8,9,0,1,1,1,1,8,7,3,1,6,7,13,7,2,-1,4,8,5,2,188,East
 8,8,1,1,1,1,1,7,7,3,1,6,8,14,7,2,-1,2,8,4,2,187,South
 8,7,1,1,1,1,1,1,1,3,1,6,8,14,6,-1,-1,3,8,3,2,386,South
 8,6,1,1,1,0,1,1,1,3,1,6,9,14,5,-1,-1,5,6,2,2,385,South
 9,6,1,1,1,1,1,1,1,3,1,6,10,13,5,-1,-1,7,5,1,2,384,East
 10,6,1,1,0,1,1,1,1,3,1,6,9,13,5,-1,-1,7,5,8,1,483,East
 10,7,1,1,0,1,1,1,1,3,1,5,9,14,5,-1,-1,7,5,7,1,482,North
 10,8,1,1,0,1,1,1,1,3,1,5,10,13,5,-1,-1,7,6,6,1,481,North
 10,9,1,1,1,1,1,1,1,3,1,5,11,13,5,-1,-1,7,7,5,1,480,North
 9,9,0,1,1,1,1,1,1,3,1,5,10,13,5,-1,-1,5,8,6,1,479,West
 8,9,0,1,1,1,1,1,1,3,1,5,11,13,5,-1,-1,5,10,7,1,478,West
 7,9,0,1,1,1,1,1,1,3,1,5,10,14,5,-1,-1,3,12,8,1,477,West
 6,9,1,1,1,1,1,1,1,3,1,5,9,14,4,-1,-1,1,14,9,1,476,West
 5,9,1,1,1,1,1,1,1,3,1,5,1,15,4,-1,-1,-1,16,10,1,675,West
 5,10,1,1,1,0,1,1,1,3,1,5,1,15,3,-1,-1,-1,17,9,1,674,North
 5,11,0,1,1,1,1,1,1,3,1,5,1,15,3,-1,-1,-1,17,10,1,673,North
 6,11,0,1,1,1,1,1,1,3,1,5,1,14,3,-1,-1,-1,15,9,1,672,East
 7,11,0,0,1,1,1,1,1,3,1,5,1,13,3,-1,-1,-1,14,8,1,671,East
 8,11,0,0,1,1,1,1,1,3,1,5,1,13,3,-1,-1,-1,12,7,1,670,East
 9,11,0,0,1,1,1,1,1,3,1,5,1,13,4,-1,-1,-1,12,6,1,669,East
 10,11,0,1,1,1,1,1,1,3,1,5,1,14,4,-1,-1,-1,10,5,1,668,East
 11,11,0,1,1,1,1,1,1,3,1,5,1,14,5,-1,-1,-1,10,4,1,667,East
 12,11,0,0,1,1,1,1,1,3,1,5,1,15,5,-1,-1,-1,10,3,1,666,East
 13,11,0,0,1,1,1,1,1,3,1,5,1,16,5,-1,-1,-1,10,2,1,665,East
 14,11,0,1,1,1,1,1,1,3,1,5,1,17,5,-1,-1,-1,10,1,1,664,East
 14,10,1,1,0,0,1,1,1,3,1,5,1,18,5,-1,-1,-1,8,-1,0,763,South
 14,9,1,1,1,1,1,1,1,3,1,5,1,18,6,-1,-1,-1,6,-1,0,762,South
 14,8,1,1,1,1,1,1,1,3,1,5,1,18,7,-1,-1,-1,6,-1,0,761,South
 15,8,1,1,1,1,1,1,1,3,1,5,1,18,6,-1,-1,-1,6,-1,0,760,East
 16,8,1,1,1,1,1,1,1,3,1,5,1,18,5,-1,-1,-1,5,-1,0,759,East
 17,8,1,1,1,1,1,1,1,3,1,5,1,18,5,-1,-1,-1,3,-1,0,758,East
 17,7,1,0,1,1,1,1,1,3,1,5,1,18,6,-1,-1,-1,1,-1,0,757,South
