@relation alpha_training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R23-26

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute Direction {North,South,East,West,Stop}

@data
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,South,West,East,West,East
13,10,1,1,1,1,5,5,4,12,14,6,13,12,13,11,5,3,West,South,North,West,South
14,10,1,1,1,1,4,5,4,11,14,7,12,12,15,11,3,5,East,West,North,East,South
14,9,1,1,1,1,5,5,3,11,14,7,11,12,13,13,2,5,South,North,Stop,East,South
14,8,1,1,1,1,5,4,3,12,14,7,12,12,13,15,1,5,West,West,Stop,East,West
14,7,1,1,1,1,4,4,2,12,5,1,13,12,13,17,-1,5,West,South,Stop,South,West
13,7,1,1,1,1,3,4,2,11,5,1,14,12,13,15,-1,5,North,South,Stop,North,West
12,7,1,1,1,1,3,5,2,11,5,1,14,11,11,14,-1,7,North,West,Stop,West,West
11,7,1,1,1,1,3,6,1,11,5,1,14,12,9,14,-1,7,North,West,Stop,West,West
10,7,1,1,1,1,3,7,1,11,5,1,13,12,7,13,-1,8,East,North,Stop,West,West
9,7,1,1,1,1,4,7,1,12,5,1,13,12,5,13,-1,8,East,North,Stop,South,West
8,7,1,1,1,1,4,7,1,12,5,1,12,12,4,12,-1,8,West,North,Stop,North,West
7,7,1,1,1,1,3,7,1,12,5,1,12,11,4,11,-1,10,East,North,Stop,North,West
6,7,1,1,1,1,4,7,1,13,5,1,12,12,2,11,-1,12,North,East,Stop,North,West
5,7,1,1,1,1,4,8,2,13,5,1,12,13,2,9,-1,13,West,South,Stop,East,West
4,7,1,1,1,1,3,8,2,12,5,1,12,13,2,7,-1,15,East,North,Stop,South,East
3,7,1,1,1,1,4,8,2,13,5,1,13,13,2,7,-1,15,West,South,Stop,South,West
4,7,1,1,1,1,3,8,2,12,5,1,13,12,2,7,-1,14,North,South,Stop,North,North
3,7,1,1,1,1,3,9,2,11,5,1,13,12,2,5,-1,16,East,North,Stop,South,East
3,8,1,1,1,1,4,9,2,12,5,1,13,13,2,5,-1,14,West,South,Stop,North,West
4,8,1,1,1,1,3,9,2,11,5,1,13,12,2,5,-1,14,Stop,South,Stop,South,West
3,8,1,1,1,1,1,1,2,11,5,1,13,13,-1,4,-1,14,Stop,East,Stop,North,East
2,8,1,1,1,1,1,1,3,11,5,1,13,12,-1,4,-1,16,Stop,West,Stop,South,West
3,8,1,1,1,1,1,1,2,11,5,1,13,13,-1,4,-1,14,Stop,East,Stop,West,East
2,8,1,1,1,1,1,1,3,11,5,1,13,12,-1,4,-1,14,Stop,East,Stop,West,North
3,8,1,1,1,1,1,1,3,11,5,1,12,12,-1,3,-1,13,Stop,East,Stop,South,East
3,9,0,1,1,1,1,1,4,11,5,1,12,12,-1,3,-1,11,Stop,East,Stop,South,East
4,9,0,1,1,1,1,1,4,11,5,1,12,11,-1,2,-1,10,Stop,West,Stop,North,East
5,9,0,1,1,1,1,1,3,11,5,1,12,11,-1,4,-1,10,Stop,North,Stop,North,North
6,9,1,1,1,1,1,1,3,12,5,1,12,12,-1,6,-1,10,Stop,North,Stop,West,North
6,10,1,1,1,0,1,1,3,13,5,1,12,13,-1,6,-1,8,Stop,South,Stop,West,West
6,11,1,1,1,1,1,1,3,12,5,1,11,13,-1,4,-1,7,Stop,East,Stop,South,West
5,11,1,0,1,1,1,1,4,12,5,1,11,13,-1,2,-1,7,Stop,East,Stop,South,East
4,11,1,0,1,1,1,1,5,12,5,1,11,12,-1,2,-1,7,Stop,Stop,Stop,West,North
5,11,1,0,1,1,1,1,5,12,5,1,11,11,-1,1,-1,5,Stop,Stop,Stop,North,East
5,12,1,1,1,1,1,1,3,1,5,1,10,11,-1,-1,-1,5,Stop,Stop,Stop,West,East
6,12,1,1,1,1,1,1,3,1,5,1,10,12,-1,-1,-1,3,Stop,Stop,Stop,East,East
7,12,1,1,1,1,1,1,3,1,5,1,9,12,-1,-1,-1,3,Stop,Stop,Stop,South,East
8,12,1,1,1,1,1,1,3,1,5,1,10,12,-1,-1,-1,3,Stop,Stop,Stop,South,East
9,12,1,1,1,1,1,1,3,1,5,1,10,11,-1,-1,-1,2,Stop,Stop,Stop,West,South
10,12,1,1,1,1,1,1,3,1,5,1,10,11,-1,-1,-1,2,Stop,Stop,Stop,North,West
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,West,South,North,East,South
13,10,1,1,1,1,4,6,5,11,13,7,13,12,13,9,3,3,West,East,North,South,South
13,9,1,1,1,1,4,6,6,11,13,7,14,12,12,9,2,3,West,South,East,North,East
13,8,1,1,1,1,3,6,6,10,14,7,14,11,12,9,2,5,North,South,West,North,West
14,8,1,1,1,1,3,7,6,9,13,7,14,12,12,9,2,5,South,East,West,West,West
13,8,1,1,1,1,3,6,7,9,12,7,14,13,12,7,2,5,West,North,South,West,South
12,8,1,1,1,1,2,6,7,10,12,6,13,13,12,7,2,5,West,North,West,West,West
12,7,1,1,1,1,2,6,7,10,11,6,12,13,11,8,2,6,North,West,West,South,West
11,7,1,1,1,1,2,7,6,10,10,6,12,13,9,8,2,6,North,South,Stop,South,West
10,7,1,1,1,1,2,7,6,9,5,1,12,12,8,6,-1,7,North,South,Stop,South,West
9,7,1,1,1,1,2,8,6,8,5,1,12,12,8,4,-1,8,West,South,Stop,South,West
8,7,1,1,1,1,1,8,6,8,5,1,12,12,8,3,-1,9,East,North,Stop,South,West
7,7,1,1,1,1,2,8,6,9,5,1,12,12,6,3,-1,9,East,South,Stop,West,West
6,7,1,1,1,1,2,8,6,8,5,1,12,11,5,1,-1,9,East,South,Stop,West,West
5,7,1,1,1,1,3,8,6,7,5,1,11,11,3,1,-1,9,Stop,North,Stop,North,West
4,7,1,1,1,1,3,7,6,8,5,1,10,11,1,3,-1,11,Stop,North,Stop,North,East
3,7,1,1,1,1,1,1,6,9,5,1,10,12,-1,5,-1,13,Stop,North,Stop,East,East
4,7,1,1,1,1,1,1,6,9,5,1,10,13,-1,4,-1,13,Stop,North,Stop,East,East
5,7,1,1,1,1,1,1,6,10,5,1,11,13,-1,4,-1,12,Stop,North,Stop,South,North
6,7,1,1,1,1,1,1,6,11,5,1,11,13,-1,4,-1,10,Stop,North,Stop,North,North
6,8,1,1,1,1,1,1,6,12,5,1,11,12,-1,4,-1,10,Stop,North,Stop,South,North
6,9,1,1,1,1,1,1,6,13,5,1,11,13,-1,4,-1,8,Stop,North,Stop,South,North
6,10,1,1,1,0,1,1,6,14,5,1,11,12,-1,4,-1,6,Stop,North,Stop,South,North
6,11,1,1,1,1,1,1,6,14,5,1,11,11,-1,3,-1,5,Stop,Stop,Stop,West,North
6,12,1,1,1,1,1,1,6,13,5,1,11,11,-1,1,-1,5,Stop,Stop,Stop,North,East
6,13,1,1,1,1,1,1,3,1,5,1,10,11,-1,-1,-1,5,Stop,Stop,Stop,North,East
7,13,1,1,1,1,1,1,3,1,5,1,10,12,-1,-1,-1,3,Stop,Stop,Stop,Stop,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,West,East,Stop,North
13,10,1,1,1,1,5,6,4,12,14,6,13,12,12,11,5,2,South,West,North,Stop,North
13,11,1,1,1,1,5,5,3,12,14,7,13,12,14,11,5,1,South,North,North,Stop,West
