@relation 'beta_training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R23-26-weka.filters.unsupervised.attribute.AddExpression-E(a7+a9+a11+a13)/4-NmeanGhostx-weka.filters.unsupervised.attribute.AddExpression-E(a8+a10+a12+a14)/4-NmeanGhosty-weka.filters.unsupervised.attribute.AddExpression-E(a15+a16+a17+a18)/4-NmeanDist-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23'

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute meanGhostx numeric
@attribute meanGhosty numeric
@attribute meanDist numeric
@attribute Direction {North,South,East,West,Stop}

@data
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,Stop,Stop,Stop,9,9,7,Stop
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,Stop,Stop,Stop,9,9,7,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,Stop,Stop,Stop,9,9,7,North
13,10,1,1,1,1,5,6,5,12,13,6,13,12,12,10,4,2,Stop,Stop,Stop,Stop,9,9,7,North
13,11,1,1,1,1,5,6,5,12,13,6,13,12,13,9,5,1,Stop,Stop,Stop,Stop,9,9,7,West
13,12,1,1,1,1,5,6,5,12,13,6,7,1,14,8,6,-1,Stop,Stop,Stop,Stop,7.5,6.25,6.75,West
12,12,1,1,1,1,5,6,5,12,13,6,7,1,13,7,7,-1,Stop,Stop,Stop,Stop,7.5,6.25,6.5,West
11,12,1,1,1,1,5,6,5,12,13,6,7,1,12,6,8,-1,Stop,Stop,Stop,Stop,7.5,6.25,6.25,West
10,12,1,1,1,1,5,6,5,12,13,6,7,1,11,5,9,-1,Stop,Stop,Stop,Stop,7.5,6.25,6,West
9,12,1,1,1,1,5,6,5,12,13,6,7,1,10,4,10,-1,Stop,Stop,Stop,Stop,7.5,6.25,5.75,West
8,12,1,1,1,1,5,6,5,12,13,6,7,1,9,3,11,-1,Stop,Stop,Stop,Stop,7.5,6.25,5.5,West
7,12,1,1,1,1,5,6,5,12,13,6,7,1,8,2,12,-1,Stop,Stop,Stop,Stop,7.5,6.25,5.25,West
6,12,1,1,1,1,5,6,5,12,13,6,7,1,7,1,13,-1,Stop,Stop,Stop,Stop,7.5,6.25,5,South
5,12,1,1,1,1,5,6,3,1,13,6,7,1,6,-1,14,-1,Stop,Stop,Stop,Stop,7,3.5,4.5,East
5,11,1,0,1,1,5,6,3,1,13,6,7,1,5,-1,13,-1,Stop,Stop,Stop,Stop,7,3.5,4,East
6,11,1,1,1,1,5,6,3,1,13,6,7,1,6,-1,12,-1,Stop,Stop,Stop,Stop,7,3.5,4,South
7,11,1,1,1,1,5,6,3,1,13,6,7,1,7,-1,11,-1,Stop,Stop,Stop,Stop,7,3.5,4,South
7,10,1,1,1,1,5,6,3,1,13,6,7,1,6,-1,10,-1,Stop,Stop,Stop,Stop,7,3.5,3.5,West
7,9,1,1,1,1,5,6,3,1,13,6,7,1,5,-1,9,-1,Stop,Stop,Stop,Stop,7,3.5,3,West
6,9,1,1,1,1,5,6,3,1,13,6,7,1,4,-1,10,-1,Stop,Stop,Stop,Stop,7,3.5,3,South
5,9,0,1,1,1,5,6,3,1,13,6,7,1,3,-1,11,-1,Stop,Stop,Stop,Stop,7,3.5,3,South
5,8,1,1,1,1,5,6,3,1,13,6,7,1,2,-1,10,-1,Stop,Stop,Stop,Stop,7,3.5,2.5,South
5,7,1,1,1,1,5,6,3,1,13,6,7,1,1,-1,9,-1,Stop,Stop,Stop,Stop,7,3.5,2,East
5,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,8,-1,Stop,Stop,Stop,Stop,6,2.25,1.25,East
6,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,7,-1,Stop,Stop,Stop,Stop,6,2.25,1,East
7,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,6,-1,Stop,Stop,Stop,Stop,6,2.25,0.75,East
