@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R23-26-weka.filters.unsupervised.attribute.AddExpression-E(a7+a9+a11+a13)/4-NmeanGhostx-weka.filters.unsupervised.attribute.AddExpression-E(a8+a10+a12+a14)/4-NmeanGhosty-weka.filters.unsupervised.attribute.AddExpression-E(a15+a16+a17+a18)/4-NmeanDist-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23'

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute meanGhostx numeric
@attribute meanGhosty numeric
@attribute meanDist numeric
@attribute Direction {North,South,East,West,Stop}

@data
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,South,West,East,West,9,9,7,East
13,10,1,1,1,1,5,5,4,12,14,6,13,12,13,11,5,3,West,South,North,West,9,8.75,8,South
14,10,1,1,1,1,4,5,4,11,14,7,12,12,15,11,3,5,East,West,North,East,8.5,8.75,8.5,South
14,9,1,1,1,1,5,5,3,11,14,7,11,12,13,13,2,5,South,North,Stop,East,8.25,8.75,8.25,South
14,8,1,1,1,1,5,4,3,12,14,7,12,12,13,15,1,5,West,West,Stop,East,8.5,8.75,8.5,West
14,7,1,1,1,1,4,4,2,12,5,1,13,12,13,17,-1,5,West,South,Stop,South,6,7.25,8.5,West
13,7,1,1,1,1,3,4,2,11,5,1,14,12,13,15,-1,5,North,South,Stop,North,6,7,8,West
12,7,1,1,1,1,3,5,2,11,5,1,14,11,11,14,-1,7,North,West,Stop,West,6,7,7.75,West
11,7,1,1,1,1,3,6,1,11,5,1,14,12,9,14,-1,7,North,West,Stop,West,5.75,7.5,7.25,West
10,7,1,1,1,1,3,7,1,11,5,1,13,12,7,13,-1,8,East,North,Stop,West,5.5,7.75,6.75,West
9,7,1,1,1,1,4,7,1,12,5,1,13,12,5,13,-1,8,East,North,Stop,South,5.75,8,6.25,West
8,7,1,1,1,1,4,7,1,12,5,1,12,12,4,12,-1,8,West,North,Stop,North,5.5,8,5.75,West
7,7,1,1,1,1,3,7,1,12,5,1,12,11,4,11,-1,10,East,North,Stop,North,5.25,7.75,6,West
6,7,1,1,1,1,4,7,1,13,5,1,12,12,2,11,-1,12,North,East,Stop,North,5.5,8.25,6,West
5,7,1,1,1,1,4,8,2,13,5,1,12,13,2,9,-1,13,West,South,Stop,East,5.75,8.75,5.75,West
4,7,1,1,1,1,3,8,2,12,5,1,12,13,2,7,-1,15,East,North,Stop,South,5.5,8.5,5.75,East
3,7,1,1,1,1,4,8,2,13,5,1,13,13,2,7,-1,15,West,South,Stop,South,6,8.75,5.75,West
4,7,1,1,1,1,3,8,2,12,5,1,13,12,2,7,-1,14,North,South,Stop,North,5.75,8.25,5.5,North
3,7,1,1,1,1,3,9,2,11,5,1,13,12,2,5,-1,16,East,North,Stop,South,5.75,8.25,5.5,East
3,8,1,1,1,1,4,9,2,12,5,1,13,13,2,5,-1,14,West,South,Stop,North,6,8.75,5,West
4,8,1,1,1,1,3,9,2,11,5,1,13,12,2,5,-1,14,Stop,South,Stop,South,5.75,8.25,5,West
3,8,1,1,1,1,1,1,2,11,5,1,13,13,-1,4,-1,14,Stop,East,Stop,North,5.25,6.5,4,East
2,8,1,1,1,1,1,1,3,11,5,1,13,12,-1,4,-1,16,Stop,West,Stop,South,5.5,6.25,4.5,West
