@relation 'log.arff-weka.filters.unsupervised.attribute.Remove-R23-26-weka.filters.unsupervised.attribute.AddExpression-E(a7+a9+a11+a13)/4-NmeanGhostx-weka.filters.unsupervised.attribute.AddExpression-E(a8+a10+a12+a14)/4-NmeanGhosty-weka.filters.unsupervised.attribute.AddExpression-E(a15+a16+a17+a18)/4-NmeanDist-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23'

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute meanGhostx numeric
@attribute meanGhosty numeric
@attribute meanDist numeric
@attribute Direction {North,South,East,West,Stop}

@data
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,Stop,Stop,Stop,9,9,7,East
12,11,1,1,1,1,5,6,5,12,13,6,13,12,12,8,6,2,Stop,Stop,Stop,Stop,9,9,7,North
13,11,1,1,1,1,5,6,5,12,13,6,13,12,13,9,5,1,Stop,Stop,Stop,Stop,9,9,7,North
13,12,1,1,1,1,5,6,5,12,13,6,7,1,14,8,6,-1,Stop,Stop,Stop,Stop,7.5,6.25,6.75,North
13,13,1,1,1,1,5,6,5,12,13,6,7,1,15,9,7,-1,Stop,Stop,Stop,Stop,7.5,6.25,7.5,East
13,14,0,1,1,1,5,6,5,12,13,6,7,1,16,10,8,-1,Stop,Stop,Stop,Stop,7.5,6.25,8.25,South
14,14,0,1,1,1,5,6,5,12,13,6,7,1,17,11,9,-1,Stop,Stop,Stop,Stop,7.5,6.25,9,West
14,13,1,1,1,1,5,6,5,12,13,6,7,1,16,10,8,-1,Stop,Stop,Stop,Stop,7.5,6.25,8.25,South
13,13,1,1,1,1,5,6,5,12,13,6,7,1,15,9,7,-1,Stop,Stop,Stop,Stop,7.5,6.25,7.5,South
13,12,1,1,1,1,5,6,5,12,13,6,7,1,14,8,6,-1,Stop,Stop,Stop,Stop,7.5,6.25,6.75,South
13,11,1,1,1,1,5,6,5,12,13,6,7,1,13,9,5,-1,Stop,Stop,Stop,Stop,7.5,6.25,6.5,South
13,10,1,1,1,1,5,6,5,12,13,6,7,1,12,10,4,-1,Stop,Stop,Stop,Stop,7.5,6.25,6.25,South
13,9,1,1,1,1,5,6,5,12,13,6,7,1,11,11,3,-1,Stop,Stop,Stop,Stop,7.5,6.25,6,South
13,8,1,1,1,1,5,6,5,12,13,6,7,1,10,12,2,-1,Stop,Stop,Stop,Stop,7.5,6.25,5.75,South
13,7,1,1,1,1,5,6,5,12,13,6,7,1,9,13,1,-1,Stop,Stop,Stop,Stop,7.5,6.25,5.5,West
13,6,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,5.5,5,5,West
12,6,1,1,1,1,5,6,5,12,5,1,7,1,7,13,-1,-1,Stop,Stop,Stop,Stop,5.5,5,4.5,West
11,6,1,1,1,1,5,6,5,12,5,1,7,1,6,12,-1,-1,Stop,Stop,Stop,Stop,5.5,5,4,West
10,6,1,1,1,1,5,6,5,12,5,1,7,1,5,11,-1,-1,Stop,Stop,Stop,Stop,5.5,5,3.5,West
9,6,1,1,1,1,5,6,5,12,5,1,7,1,4,10,-1,-1,Stop,Stop,Stop,Stop,5.5,5,3,West
8,6,1,1,1,1,5,6,5,12,5,1,7,1,3,9,-1,-1,Stop,Stop,Stop,Stop,5.5,5,2.5,West
7,6,1,1,1,1,5,6,5,12,5,1,7,1,2,8,-1,-1,Stop,Stop,Stop,Stop,5.5,5,2,West
6,6,1,1,1,1,5,6,5,12,5,1,7,1,1,7,-1,-1,Stop,Stop,Stop,Stop,5.5,5,1.5,North
5,6,1,1,1,1,1,1,5,12,5,1,7,1,-1,6,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.75,North
5,7,1,1,1,1,1,1,5,12,5,1,7,1,-1,5,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.5,North
5,8,1,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.25,East
5,9,0,1,1,1,1,1,5,12,5,1,7,1,-1,3,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0,East
6,9,1,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.25,North
7,9,1,1,1,1,1,1,5,12,5,1,7,1,-1,5,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.5,West
7,10,1,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.25,North
