@relation 'gamma_training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R23-26-weka.filters.unsupervised.attribute.AddExpression-E(a7+a9+a11+a13)/4-NmeanGhostx-weka.filters.unsupervised.attribute.AddExpression-E(a8+a10+a12+a14)/4-NmeanGhosty-weka.filters.unsupervised.attribute.AddExpression-E(a15+a16+a17+a18)/4-NmeanDist-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Remove-R15-25'

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute Direction {North,South,East,West,Stop}

@data
12,10,1,1,1,1,5,6,5,12,13,6,13,12,Stop
12,10,1,1,1,1,5,6,5,12,13,6,13,12,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,11,1,1,1,1,5,6,5,12,13,6,13,12,West
13,12,1,1,1,1,5,6,5,12,13,6,7,1,West
12,12,1,1,1,1,5,6,5,12,13,6,7,1,West
11,12,1,1,1,1,5,6,5,12,13,6,7,1,West
10,12,1,1,1,1,5,6,5,12,13,6,7,1,West
9,12,1,1,1,1,5,6,5,12,13,6,7,1,West
8,12,1,1,1,1,5,6,5,12,13,6,7,1,West
7,12,1,1,1,1,5,6,5,12,13,6,7,1,West
6,12,1,1,1,1,5,6,5,12,13,6,7,1,South
5,12,1,1,1,1,5,6,3,1,13,6,7,1,East
5,11,1,0,1,1,5,6,3,1,13,6,7,1,East
6,11,1,1,1,1,5,6,3,1,13,6,7,1,South
7,11,1,1,1,1,5,6,3,1,13,6,7,1,South
7,10,1,1,1,1,5,6,3,1,13,6,7,1,West
7,9,1,1,1,1,5,6,3,1,13,6,7,1,West
6,9,1,1,1,1,5,6,3,1,13,6,7,1,South
5,9,0,1,1,1,5,6,3,1,13,6,7,1,South
5,8,1,1,1,1,5,6,3,1,13,6,7,1,South
5,7,1,1,1,1,5,6,3,1,13,6,7,1,East
5,6,1,1,1,1,1,1,3,1,13,6,7,1,East
6,6,1,1,1,1,1,1,3,1,13,6,7,1,East
7,6,1,1,1,1,1,1,3,1,13,6,7,1,East
8,6,1,1,1,1,1,1,3,1,13,6,7,1,East
9,6,1,1,1,1,1,1,3,1,13,6,7,1,East
10,6,1,1,1,1,1,1,3,1,13,6,7,1,East
11,6,1,1,1,1,1,1,3,1,13,6,7,1,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,11,1,1,1,1,5,6,5,12,13,6,13,12,South
13,12,1,1,1,1,5,6,5,12,13,6,7,1,South
13,11,1,1,1,1,5,6,5,12,13,6,7,1,East
13,10,1,1,1,1,5,6,5,12,13,6,7,1,East
14,10,1,1,1,1,5,6,5,12,13,6,7,1,South
15,10,1,1,1,1,5,6,5,12,13,6,7,1,East
15,9,1,1,1,1,5,6,5,12,13,6,7,1,East
