@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R23-26-weka.filters.unsupervised.attribute.AddExpression-E(a7+a9+a11+a13)/4-NmeanGhostx-weka.filters.unsupervised.attribute.AddExpression-E(a8+a10+a12+a14)/4-NmeanGhosty-weka.filters.unsupervised.attribute.AddExpression-E(a15+a16+a17+a18)/4-NmeanDist-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Remove-R15-25'

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute Direction {North,South,East,West,Stop}

@data
12,10,1,1,1,1,5,6,5,12,13,6,13,12,East
13,10,1,1,1,1,5,5,4,12,14,6,13,12,South
14,10,1,1,1,1,4,5,4,11,14,7,12,12,South
14,9,1,1,1,1,5,5,3,11,14,7,11,12,South
14,8,1,1,1,1,5,4,3,12,14,7,12,12,West
14,7,1,1,1,1,4,4,2,12,5,1,13,12,West
13,7,1,1,1,1,3,4,2,11,5,1,14,12,West
12,7,1,1,1,1,3,5,2,11,5,1,14,11,West
11,7,1,1,1,1,3,6,1,11,5,1,14,12,West
10,7,1,1,1,1,3,7,1,11,5,1,13,12,West
9,7,1,1,1,1,4,7,1,12,5,1,13,12,West
8,7,1,1,1,1,4,7,1,12,5,1,12,12,West
7,7,1,1,1,1,3,7,1,12,5,1,12,11,West
6,7,1,1,1,1,4,7,1,13,5,1,12,12,West
5,7,1,1,1,1,4,8,2,13,5,1,12,13,West
4,7,1,1,1,1,3,8,2,12,5,1,12,13,East
3,7,1,1,1,1,4,8,2,13,5,1,13,13,West
4,7,1,1,1,1,3,8,2,12,5,1,13,12,North
3,7,1,1,1,1,3,9,2,11,5,1,13,12,East
3,8,1,1,1,1,4,9,2,12,5,1,13,13,West
4,8,1,1,1,1,3,9,2,11,5,1,13,12,West
3,8,1,1,1,1,1,1,2,11,5,1,13,13,East
2,8,1,1,1,1,1,1,3,11,5,1,13,12,West
3,8,1,1,1,1,1,1,2,11,5,1,13,13,East
2,8,1,1,1,1,1,1,3,11,5,1,13,12,North
3,8,1,1,1,1,1,1,3,11,5,1,12,12,East
3,9,0,1,1,1,1,1,4,11,5,1,12,12,East
4,9,0,1,1,1,1,1,4,11,5,1,12,11,East
5,9,0,1,1,1,1,1,3,11,5,1,12,11,North
6,9,1,1,1,1,1,1,3,12,5,1,12,12,North
6,10,1,1,1,0,1,1,3,13,5,1,12,13,West
6,11,1,1,1,1,1,1,3,12,5,1,11,13,West
5,11,1,0,1,1,1,1,4,12,5,1,11,13,East
4,11,1,0,1,1,1,1,5,12,5,1,11,12,North
5,11,1,0,1,1,1,1,5,12,5,1,11,11,East
5,12,1,1,1,1,1,1,3,1,5,1,10,11,East
6,12,1,1,1,1,1,1,3,1,5,1,10,12,East
7,12,1,1,1,1,1,1,3,1,5,1,9,12,East
8,12,1,1,1,1,1,1,3,1,5,1,10,12,East
9,12,1,1,1,1,1,1,3,1,5,1,10,11,South
10,12,1,1,1,1,1,1,3,1,5,1,10,11,West
12,10,1,1,1,1,5,6,5,12,13,6,13,12,South
13,10,1,1,1,1,4,6,5,11,13,7,13,12,South
13,9,1,1,1,1,4,6,6,11,13,7,14,12,East
13,8,1,1,1,1,3,6,6,10,14,7,14,11,West
14,8,1,1,1,1,3,7,6,9,13,7,14,12,West
13,8,1,1,1,1,3,6,7,9,12,7,14,13,South
12,8,1,1,1,1,2,6,7,10,12,6,13,13,West
12,7,1,1,1,1,2,6,7,10,11,6,12,13,West
11,7,1,1,1,1,2,7,6,10,10,6,12,13,West
10,7,1,1,1,1,2,7,6,9,5,1,12,12,West
9,7,1,1,1,1,2,8,6,8,5,1,12,12,West
8,7,1,1,1,1,1,8,6,8,5,1,12,12,West
7,7,1,1,1,1,2,8,6,9,5,1,12,12,West
6,7,1,1,1,1,2,8,6,8,5,1,12,11,West
5,7,1,1,1,1,3,8,6,7,5,1,11,11,West
4,7,1,1,1,1,3,7,6,8,5,1,10,11,East
3,7,1,1,1,1,1,1,6,9,5,1,10,12,East
4,7,1,1,1,1,1,1,6,9,5,1,10,13,East
5,7,1,1,1,1,1,1,6,10,5,1,11,13,North
6,7,1,1,1,1,1,1,6,11,5,1,11,13,North
6,8,1,1,1,1,1,1,6,12,5,1,11,12,North
6,9,1,1,1,1,1,1,6,13,5,1,11,13,North
6,10,1,1,1,0,1,1,6,14,5,1,11,12,North
6,11,1,1,1,1,1,1,6,14,5,1,11,11,North
6,12,1,1,1,1,1,1,6,13,5,1,11,11,East
6,13,1,1,1,1,1,1,3,1,5,1,10,11,East
7,13,1,1,1,1,1,1,3,1,5,1,10,12,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,10,1,1,1,1,5,6,4,12,14,6,13,12,North
13,11,1,1,1,1,5,5,3,12,14,7,13,12,West
13,12,1,1,1,1,5,5,3,13,14,8,7,1,West
12,12,1,1,1,1,4,5,3,13,15,8,7,1,West
11,12,1,1,1,1,5,5,3,14,14,8,7,1,West
10,12,1,1,1,1,5,4,3,14,14,9,7,1,West
9,12,1,1,1,1,6,4,3,13,14,8,7,1,West
8,12,1,1,1,1,6,4,2,13,14,9,7,1,West
7,12,1,1,1,1,5,4,1,13,15,9,7,1,West
6,12,1,1,1,1,4,4,1,13,15,9,7,1,West
5,12,1,1,1,1,5,4,2,13,14,9,7,1,West
4,12,1,1,1,1,6,4,1,13,14,8,7,1,West
3,12,1,1,1,1,6,5,2,13,14,9,7,1,West
2,12,1,1,1,1,6,6,1,13,14,8,7,1,North
1,12,1,1,1,0,7,6,1,14,15,8,7,1,East
1,13,1,1,1,0,7,6,3,1,15,8,7,1,East
2,13,1,1,1,1,7,6,3,1,16,8,7,1,East
3,13,1,1,1,1,8,6,3,1,15,8,7,1,East
4,13,1,1,1,1,9,6,3,1,15,8,7,1,East
5,13,1,1,1,1,9,6,3,1,15,8,7,1,East
6,13,1,1,1,1,10,6,3,1,15,9,7,1,East
7,13,1,1,1,1,11,6,3,1,15,9,7,1,East
8,13,1,1,1,1,11,6,3,1,14,9,7,1,East
9,13,1,1,1,1,11,5,3,1,14,10,7,1,East
10,13,1,1,1,1,12,5,3,1,14,11,7,1,East
11,13,1,1,1,1,12,6,3,1,14,12,7,1,East
12,13,1,1,1,1,13,6,3,1,15,12,7,1,East
13,13,1,1,1,1,14,6,3,1,15,13,7,1,West
14,13,1,1,1,1,13,6,3,1,15,14,7,1,East
13,13,1,1,1,1,14,6,3,1,15,13,7,1,East
