@relation log.arff

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosthx numeric
@attribute Gosthy numeric
@attribute Direction {North,South,East,West,Stop}

@data
12,10,1,1,1,1,13,12,East
12,11,1,1,1,1,13,12,North
13,11,1,1,1,1,13,6,North
13,12,1,1,1,1,13,6,North
13,13,1,1,1,1,13,6,East
13,14,0,1,1,1,13,6,South
14,14,0,1,1,1,13,6,West
14,13,1,1,1,1,13,6,West
13,13,1,1,1,1,5,12,West
12,13,1,1,1,1,5,12,West
11,13,1,1,1,1,5,12,West
10,13,1,1,1,1,5,12,West
9,13,1,1,1,1,5,12,West
8,13,1,1,1,1,5,12,West
7,13,1,1,1,1,5,12,West
6,13,1,1,1,1,5,12,South
5,13,1,1,1,1,5,6,South
5,12,1,1,1,1,5,6,East
5,11,1,0,1,1,5,6,South
6,11,1,1,1,1,5,6,South
6,10,1,1,1,0,5,6,West
6,9,1,1,1,1,5,6,West
5,9,0,1,1,1,5,6,South
4,9,0,1,1,1,5,6,East
4,8,1,1,1,1,5,6,East
5,8,1,1,1,1,5,6,South
6,8,1,1,1,1,5,6,West
6,7,1,1,1,1,5,6,South
5,7,1,1,1,1,13,6,East
5,6,1,1,1,1,13,6,East
6,6,1,1,1,1,13,6,East
7,6,1,1,1,1,13,6,East
8,6,1,1,1,1,13,6,East
9,6,1,1,1,1,13,6,East
10,6,1,1,1,1,13,6,East
11,6,1,1,1,1,13,6,East
12,10,1,1,1,1,13,12,East
12,11,1,1,1,1,13,12,North
13,11,1,1,1,1,13,6,North
13,12,1,1,1,1,13,6,North
13,13,1,1,1,1,13,6,East
13,14,0,1,1,1,13,6,South
14,14,0,1,1,1,13,6,West
14,13,1,1,1,1,13,6,South
13,13,1,1,1,1,13,6,South
13,12,1,1,1,1,13,6,South
13,11,1,1,1,1,13,6,South
13,10,1,1,1,1,13,6,South
13,9,1,1,1,1,13,6,South
13,8,1,1,1,1,13,6,South
13,7,1,1,1,1,5,6,West
13,6,1,1,1,1,5,6,West
12,6,1,1,1,1,5,6,West
11,6,1,1,1,1,5,6,West
10,6,1,1,1,1,5,6,West
9,6,1,1,1,1,5,6,West
8,6,1,1,1,1,5,6,West
7,6,1,1,1,1,5,6,West
6,6,1,1,1,1,5,12,North
5,6,1,1,1,1,5,12,North
5,7,1,1,1,1,5,12,North
5,8,1,1,1,1,5,12,East
5,9,0,1,1,1,5,12,North
6,9,1,1,1,1,5,12,North
6,10,1,1,1,0,5,12,West
6,11,1,1,1,1,5,12,North
12,10,1,1,1,1,13,12,East
12,11,1,1,1,1,13,12,North
13,11,1,1,1,1,13,6,North
13,12,1,1,1,1,13,6,North
13,13,1,1,1,1,13,6,East
13,14,0,1,1,1,13,6,South
14,14,0,1,1,1,13,6,West
14,13,1,1,1,1,13,6,South
13,13,1,1,1,1,13,6,South
13,12,1,1,1,1,13,6,South
13,11,1,1,1,1,13,6,South
13,10,1,1,1,1,13,6,South
13,9,1,1,1,1,13,6,South
13,8,1,1,1,1,13,6,South
13,7,1,1,1,1,5,6,West
13,6,1,1,1,1,5,6,West
12,6,1,1,1,1,5,6,West
11,6,1,1,1,1,5,6,West
10,6,1,1,1,1,5,6,West
9,6,1,1,1,1,5,6,West
8,6,1,1,1,1,5,6,West
7,6,1,1,1,1,5,6,West
6,6,1,1,1,1,5,12,North
5,6,1,1,1,1,5,12,North
5,7,1,1,1,1,5,12,North
5,8,1,1,1,1,5,12,East
5,9,0,1,1,1,5,12,North
6,9,1,1,1,1,5,12,North
6,10,1,1,1,0,5,12,West
6,11,1,1,1,1,5,12,North
12,10,1,1,1,1,13,12,East
12,11,1,1,1,1,13,12,North
13,11,1,1,1,1,13,6,North
13,12,1,1,1,1,13,6,North
13,13,1,1,1,1,13,6,East
13,14,0,1,1,1,13,6,South
14,14,0,1,1,1,13,6,West
14,13,1,1,1,1,13,6,South
13,13,1,1,1,1,13,6,South
13,12,1,1,1,1,13,6,South
13,11,1,1,1,1,13,6,South
13,10,1,1,1,1,13,6,South
13,9,1,1,1,1,13,6,South
13,8,1,1,1,1,13,6,South
13,7,1,1,1,1,5,6,West
13,6,1,1,1,1,5,6,West
12,6,1,1,1,1,5,6,West
11,6,1,1,1,1,5,6,West
10,6,1,1,1,1,5,6,West
9,6,1,1,1,1,5,6,West
8,6,1,1,1,1,5,6,West
7,6,1,1,1,1,5,6,West
6,6,1,1,1,1,5,12,North
5,6,1,1,1,1,5,12,North
5,7,1,1,1,1,5,12,North
5,8,1,1,1,1,5,12,East
5,9,0,1,1,1,5,12,North
6,9,1,1,1,1,5,12,North
6,10,1,1,1,0,5,12,West
6,11,1,1,1,1,5,12,North
12,10,1,1,1,1,13,12,East
12,11,1,1,1,1,13,12,North
13,11,1,1,1,1,13,6,North
13,12,1,1,1,1,13,6,North
13,13,1,1,1,1,13,6,East
13,14,0,1,1,1,13,6,South
