@relation training_keyboard.arff

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute NearestFoodDist numeric
@attribute NumOfFood numeric
@attribute Score numeric
@attribute NextScore numeric
@attribute Direction {North,South,East,West,Stop}

@data
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,Stop,Stop,Stop,7,1,0,-1,Stop
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,Stop,Stop,Stop,7,1,-1,-2,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,Stop,Stop,Stop,7,1,-2,-3,North
13,10,1,1,1,1,5,6,5,12,13,6,13,12,12,10,4,2,Stop,Stop,Stop,Stop,6,1,-3,-4,North
13,11,1,1,1,1,5,6,5,12,13,6,13,12,13,9,5,1,Stop,Stop,Stop,Stop,7,1,-4,195,West
13,12,1,1,1,1,5,6,5,12,13,6,7,1,14,8,6,-1,Stop,Stop,Stop,Stop,8,1,195,194,West
12,12,1,1,1,1,5,6,5,12,13,6,7,1,13,7,7,-1,Stop,Stop,Stop,Stop,9,1,194,193,West
11,12,1,1,1,1,5,6,5,12,13,6,7,1,12,6,8,-1,Stop,Stop,Stop,Stop,10,1,193,192,West
10,12,1,1,1,1,5,6,5,12,13,6,7,1,11,5,9,-1,Stop,Stop,Stop,Stop,11,1,192,191,West
9,12,1,1,1,1,5,6,5,12,13,6,7,1,10,4,10,-1,Stop,Stop,Stop,Stop,12,1,191,190,West
8,12,1,1,1,1,5,6,5,12,13,6,7,1,9,3,11,-1,Stop,Stop,Stop,Stop,13,1,190,189,West
7,12,1,1,1,1,5,6,5,12,13,6,7,1,8,2,12,-1,Stop,Stop,Stop,Stop,14,1,189,188,West
6,12,1,1,1,1,5,6,5,12,13,6,7,1,7,1,13,-1,Stop,Stop,Stop,Stop,15,1,188,387,South
5,12,1,1,1,1,5,6,3,1,13,6,7,1,6,-1,14,-1,Stop,Stop,Stop,Stop,16,1,387,386,East
5,11,1,0,1,1,5,6,3,1,13,6,7,1,5,-1,13,-1,Stop,Stop,Stop,Stop,15,1,386,385,East
6,11,1,1,1,1,5,6,3,1,13,6,7,1,6,-1,12,-1,Stop,Stop,Stop,Stop,14,1,385,384,South
7,11,1,1,1,1,5,6,3,1,13,6,7,1,7,-1,11,-1,Stop,Stop,Stop,Stop,13,1,384,383,South
7,10,1,1,1,1,5,6,3,1,13,6,7,1,6,-1,10,-1,Stop,Stop,Stop,Stop,12,1,383,382,West
7,9,1,1,1,1,5,6,3,1,13,6,7,1,5,-1,9,-1,Stop,Stop,Stop,Stop,11,1,382,381,West
6,9,1,1,1,1,5,6,3,1,13,6,7,1,4,-1,10,-1,Stop,Stop,Stop,Stop,12,1,381,380,South
5,9,0,1,1,1,5,6,3,1,13,6,7,1,3,-1,11,-1,Stop,Stop,Stop,Stop,13,1,380,379,South
5,8,1,1,1,1,5,6,3,1,13,6,7,1,2,-1,10,-1,Stop,Stop,Stop,Stop,14,1,379,378,South
5,7,1,1,1,1,5,6,3,1,13,6,7,1,1,-1,9,-1,Stop,Stop,Stop,Stop,15,1,378,577,East
5,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,8,-1,Stop,Stop,Stop,Stop,16,1,577,576,East
6,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,7,-1,Stop,Stop,Stop,Stop,15,1,576,575,East
7,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,6,-1,Stop,Stop,Stop,Stop,14,1,575,574,East
8,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,5,-1,Stop,Stop,Stop,Stop,13,1,574,573,East
9,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,4,-1,Stop,Stop,Stop,Stop,12,1,573,572,East
10,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,3,-1,Stop,Stop,Stop,Stop,11,1,572,571,East
11,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,2,-1,Stop,Stop,Stop,Stop,10,1,571,570,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,Stop,Stop,Stop,7,1,0,-1,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,Stop,Stop,Stop,7,1,-1,-2,North
13,10,1,1,1,1,5,6,5,12,13,6,13,12,12,10,4,2,Stop,Stop,Stop,Stop,6,1,-2,-3,North
13,11,1,1,1,1,5,6,5,12,13,6,13,12,13,9,5,1,Stop,Stop,Stop,Stop,7,1,-3,196,South
13,12,1,1,1,1,5,6,5,12,13,6,7,1,14,8,6,-1,Stop,Stop,Stop,Stop,8,1,196,195,South
13,11,1,1,1,1,5,6,5,12,13,6,7,1,13,9,5,-1,Stop,Stop,Stop,Stop,7,1,195,194,East
13,10,1,1,1,1,5,6,5,12,13,6,7,1,12,10,4,-1,Stop,Stop,Stop,Stop,6,1,194,193,East
14,10,1,1,1,1,5,6,5,12,13,6,7,1,13,11,5,-1,Stop,Stop,Stop,Stop,5,1,193,192,South
15,10,1,1,1,1,5,6,5,12,13,6,7,1,14,12,6,-1,Stop,Stop,Stop,Stop,4,1,192,191,East
15,9,1,1,1,1,5,6,5,12,13,6,7,1,13,13,5,-1,Stop,Stop,Stop,Stop,3,1,191,190,East
16,9,1,1,1,1,5,6,5,12,13,6,7,1,14,14,6,-1,Stop,Stop,Stop,Stop,2,1,190,189,East
17,9,1,1,1,1,5,6,5,12,13,6,7,1,15,15,7,-1,Stop,Stop,Stop,Stop,1,1,189,288,North
18,9,1,1,0,1,5,6,5,12,13,6,7,1,16,16,8,-1,Stop,Stop,Stop,Stop,-1,0,288,287,North
18,10,1,1,0,1,5,6,5,12,13,6,7,1,17,15,9,-1,Stop,Stop,Stop,Stop,-1,0,287,286,South
18,11,1,1,0,1,5,6,5,12,13,6,7,1,18,14,10,-1,Stop,Stop,Stop,Stop,-1,0,286,285,West
18,10,1,1,0,1,5,6,5,12,13,6,7,1,17,15,9,-1,Stop,Stop,Stop,Stop,-1,0,285,284,South
17,10,1,1,1,1,5,6,5,12,13,6,7,1,16,14,8,-1,Stop,Stop,Stop,Stop,-1,0,284,283,South
17,9,1,1,1,1,5,6,5,12,13,6,7,1,15,15,7,-1,Stop,Stop,Stop,Stop,-1,0,283,282,South
17,8,1,1,1,1,5,6,5,12,13,6,7,1,14,16,6,-1,Stop,Stop,Stop,Stop,-1,0,282,281,South
17,7,1,1,1,1,5,6,5,12,13,6,7,1,13,17,5,-1,Stop,Stop,Stop,Stop,-1,0,281,280,South
