@relation training_tutorial1.arff

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute NearestFoodDist numeric
@attribute NumOfFood numeric
@attribute Score numeric
@attribute NextScore numeric
@attribute Direction {North,South,East,West,Stop}

@data
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,South,West,East,West,7,1,0,-1,East
13,10,1,1,1,1,5,5,4,12,14,6,13,12,13,11,5,3,West,South,North,West,6,1,-1,-2,South
14,10,1,1,1,1,4,5,4,11,14,7,12,12,15,11,3,5,East,West,North,East,5,1,-2,-3,South
14,9,1,1,1,1,5,5,3,11,14,7,11,12,13,13,2,5,South,North,Stop,East,4,1,-3,-4,South
14,8,1,1,1,1,5,4,3,12,14,7,12,12,13,15,1,5,West,West,Stop,East,5,1,-4,195,West
14,7,1,1,1,1,4,4,2,12,5,1,13,12,13,17,-1,5,West,South,Stop,South,6,1,195,194,West
13,7,1,1,1,1,3,4,2,11,5,1,14,12,13,15,-1,5,North,South,Stop,North,7,1,194,193,West
12,7,1,1,1,1,3,5,2,11,5,1,14,11,11,14,-1,7,North,West,Stop,West,8,1,193,192,West
11,7,1,1,1,1,3,6,1,11,5,1,14,12,9,14,-1,7,North,West,Stop,West,9,1,192,191,West
10,7,1,1,1,1,3,7,1,11,5,1,13,12,7,13,-1,8,East,North,Stop,West,10,1,191,190,West
9,7,1,1,1,1,4,7,1,12,5,1,13,12,5,13,-1,8,East,North,Stop,South,11,1,190,189,West
8,7,1,1,1,1,4,7,1,12,5,1,12,12,4,12,-1,8,West,North,Stop,North,12,1,189,188,West
7,7,1,1,1,1,3,7,1,12,5,1,12,11,4,11,-1,10,East,North,Stop,North,13,1,188,187,West
6,7,1,1,1,1,4,7,1,13,5,1,12,12,2,11,-1,12,North,East,Stop,North,14,1,187,186,West
5,7,1,1,1,1,4,8,2,13,5,1,12,13,2,9,-1,13,West,South,Stop,East,15,1,186,185,West
4,7,1,1,1,1,3,8,2,12,5,1,12,13,2,7,-1,15,East,North,Stop,South,16,1,185,184,East
3,7,1,1,1,1,4,8,2,13,5,1,13,13,2,7,-1,15,West,South,Stop,South,17,1,184,183,West
4,7,1,1,1,1,3,8,2,12,5,1,13,12,2,7,-1,14,North,South,Stop,North,16,1,183,182,North
3,7,1,1,1,1,3,9,2,11,5,1,13,12,2,5,-1,16,East,North,Stop,South,17,1,182,181,East
3,8,1,1,1,1,4,9,2,12,5,1,13,13,2,5,-1,14,West,South,Stop,North,16,1,181,180,West
4,8,1,1,1,1,3,9,2,11,5,1,13,12,2,5,-1,14,Stop,South,Stop,South,15,1,180,379,West
3,8,1,1,1,1,1,1,2,11,5,1,13,13,-1,4,-1,14,Stop,East,Stop,North,16,1,379,378,East
2,8,1,1,1,1,1,1,3,11,5,1,13,12,-1,4,-1,16,Stop,West,Stop,South,17,1,378,377,West
3,8,1,1,1,1,1,1,2,11,5,1,13,13,-1,4,-1,14,Stop,East,Stop,West,16,1,377,376,East
2,8,1,1,1,1,1,1,3,11,5,1,13,12,-1,4,-1,14,Stop,East,Stop,West,17,1,376,375,North
3,8,1,1,1,1,1,1,3,11,5,1,12,12,-1,3,-1,13,Stop,East,Stop,South,16,1,375,374,East
3,9,0,1,1,1,1,1,4,11,5,1,12,12,-1,3,-1,11,Stop,East,Stop,South,15,1,374,373,East
4,9,0,1,1,1,1,1,4,11,5,1,12,11,-1,2,-1,10,Stop,West,Stop,North,14,1,373,372,East
5,9,0,1,1,1,1,1,3,11,5,1,12,11,-1,4,-1,10,Stop,North,Stop,North,13,1,372,371,North
6,9,1,1,1,1,1,1,3,12,5,1,12,12,-1,6,-1,10,Stop,North,Stop,West,12,1,371,370,North
6,10,1,1,1,0,1,1,3,13,5,1,12,13,-1,6,-1,8,Stop,South,Stop,West,13,1,370,369,West
6,11,1,1,1,1,1,1,3,12,5,1,11,13,-1,4,-1,7,Stop,East,Stop,South,14,1,369,368,West
5,11,1,0,1,1,1,1,4,12,5,1,11,13,-1,2,-1,7,Stop,East,Stop,South,15,1,368,367,East
4,11,1,0,1,1,1,1,5,12,5,1,11,12,-1,2,-1,7,Stop,Stop,Stop,West,16,1,367,366,North
5,11,1,0,1,1,1,1,5,12,5,1,11,11,-1,1,-1,5,Stop,Stop,Stop,North,15,1,366,565,East
5,12,1,1,1,1,1,1,3,1,5,1,10,11,-1,-1,-1,5,Stop,Stop,Stop,West,16,1,565,564,East
6,12,1,1,1,1,1,1,3,1,5,1,10,12,-1,-1,-1,3,Stop,Stop,Stop,East,15,1,564,563,East
7,12,1,1,1,1,1,1,3,1,5,1,9,12,-1,-1,-1,3,Stop,Stop,Stop,South,14,1,563,562,East
8,12,1,1,1,1,1,1,3,1,5,1,10,12,-1,-1,-1,3,Stop,Stop,Stop,South,13,1,562,561,East
9,12,1,1,1,1,1,1,3,1,5,1,10,11,-1,-1,-1,2,Stop,Stop,Stop,West,12,1,561,560,South
10,12,1,1,1,1,1,1,3,1,5,1,10,11,-1,-1,-1,2,Stop,Stop,Stop,North,11,1,560,559,West
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,West,South,North,East,7,1,0,-1,South
13,10,1,1,1,1,4,6,5,11,13,7,13,12,13,9,3,3,West,East,North,South,6,1,-1,-2,South
13,9,1,1,1,1,4,6,6,11,13,7,14,12,12,9,2,3,West,South,East,North,5,1,-2,-3,East
13,8,1,1,1,1,3,6,6,10,14,7,14,11,12,9,2,5,North,South,West,North,6,1,-3,-4,West
14,8,1,1,1,1,3,7,6,9,13,7,14,12,12,9,2,5,South,East,West,West,5,1,-4,-5,West
13,8,1,1,1,1,3,6,7,9,12,7,14,13,12,7,2,5,West,North,South,West,6,1,-5,-6,South
