@relation training_largemaps.arff

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosthx numeric
@attribute Gosthy numeric
@attribute DirToGhost1{North,South,East,West,Stop}
@attribute DirToGhost2{North,South,East,West,Stop}
@attribute DirToGhost3{North,South,East,West,Stop}
@attribute DirToGhost4{North,South,East,West,Stop}
@attribute Move{North,South,East,West,Stop}
@data
1,18,0,1,1,0,6,9,South,South,South,South,South
1,17,1,1,0,0,6,8,South,South,South,South,South
1,16,1,1,1,0,6,9,South,South,South,South,South
1,15,1,1,1,0,6,10,South,South,South,South,South
1,14,1,1,1,0,6,9,South,South,South,South,South
1,13,1,1,0,0,5,9,South,South,South,South,South
1,12,1,1,1,0,5,9,South,South,South,South,South
1,11,1,1,0,0,6,9,South,South,South,South,South
1,10,1,1,0,0,6,10,South,South,South,South,South
1,9,1,1,0,0,6,9,South,South,South,South,South
1,8,1,1,0,0,6,9,South,South,South,South,South
1,7,1,1,0,0,6,8,East,East,East,East,East
1,6,1,1,1,0,6,9,East,East,East,East,East
2,6,0,1,1,1,6,8,East,East,East,East,East
3,6,1,1,1,1,5,8,East,East,East,East,East
4,6,1,1,1,1,5,7,North,East,East,East,North
5,6,1,1,1,1,10,5,Stop,East,East,East,East
5,7,1,1,1,1,11,5,Stop,South,South,South,South
6,7,1,1,0,1,10,5,Stop,East,East,East,East
6,6,1,0,1,1,10,5,Stop,East,East,East,East
7,6,0,0,1,1,11,5,Stop,East,East,East,East
8,6,1,1,1,1,11,4,Stop,East,East,East,East
9,6,1,1,1,1,10,4,Stop,South,East,East,South
10,6,1,1,1,1,10,3,Stop,South,East,East,South
10,5,1,1,1,1,17,6,Stop,Stop,East,East,East
10,4,1,1,1,1,17,6,Stop,Stop,North,North,North
11,4,1,1,0,1,17,6,Stop,Stop,North,North,North
11,5,1,1,0,1,18,6,Stop,Stop,North,North,North
11,6,1,1,0,1,17,6,Stop,Stop,North,North,North
11,7,1,1,0,1,18,6,Stop,Stop,North,North,North
11,8,1,1,0,1,19,6,Stop,Stop,North,North,North
11,9,1,1,0,1,19,6,Stop,Stop,North,North,North
11,10,1,1,0,1,18,6,Stop,Stop,North,North,North
11,11,1,1,0,1,19,6,Stop,Stop,East,East,East
11,12,0,1,1,1,18,6,Stop,Stop,East,East,East
12,12,0,0,1,1,17,6,Stop,Stop,South,South,South
13,12,0,1,1,1,18,6,Stop,Stop,South,South,South
13,11,1,1,1,0,18,6,Stop,Stop,South,South,South
13,10,1,1,1,0,19,6,Stop,Stop,South,South,South
13,9,1,1,1,0,19,5,Stop,Stop,South,South,South
13,8,1,1,1,0,19,5,Stop,Stop,South,South,South
13,7,1,1,1,0,18,5,Stop,Stop,South,South,South
13,6,1,1,1,0,18,6,Stop,Stop,East,East,East
13,5,1,1,1,0,17,6,Stop,Stop,North,North,North
14,5,1,1,0,1,17,6,Stop,Stop,East,East,East
14,6,1,1,1,1,17,6,Stop,Stop,East,East,East
15,6,0,0,1,1,17,6,Stop,Stop,East,East,East
16,6,0,0,1,1,25,15,Stop,Stop,Stop,East,East
17,6,0,1,1,1,25,14,Stop,Stop,Stop,East,East
18,6,0,1,1,1,25,15,Stop,Stop,Stop,East,East
19,6,0,1,1,1,24,15,Stop,Stop,Stop,East,East
20,6,0,1,1,1,25,15,Stop,Stop,Stop,East,East
21,6,0,0,1,1,24,15,Stop,Stop,Stop,East,East
22,6,0,0,1,1,24,14,Stop,Stop,Stop,East,East
23,6,1,1,1,1,25,14,Stop,Stop,Stop,East,East
24,6,1,1,1,1,24,14,Stop,Stop,Stop,North,North
25,6,1,1,0,1,23,14,Stop,Stop,Stop,North,North
25,7,1,1,0,1,23,15,Stop,Stop,Stop,North,North
25,8,1,1,0,1,24,15,Stop,Stop,Stop,North,North
25,9,1,1,0,1,24,14,Stop,Stop,Stop,North,North
25,10,1,1,0,1,24,15,Stop,Stop,Stop,West,West
25,11,0,1,0,1,25,15,Stop,Stop,Stop,South,South
24,11,0,1,1,1,25,16,Stop,Stop,Stop,East,East
24,10,1,1,1,1,24,16,Stop,Stop,Stop,North,North
25,10,1,1,0,1,25,16,Stop,Stop,Stop,West,West
25,11,0,1,0,1,25,16,Stop,Stop,Stop,South,South
24,11,0,1,1,1,25,15,Stop,Stop,Stop,East,East
24,10,1,1,1,1,25,16,Stop,Stop,Stop,North,North
25,10,1,1,0,1,25,17,Stop,Stop,Stop,West,West
25,11,0,1,0,1,25,16,Stop,Stop,Stop,South,South
24,11,0,1,1,1,25,17,Stop,Stop,Stop,East,East
24,10,1,1,1,1,25,17,Stop,Stop,Stop,North,North
25,10,1,1,0,1,25,17,Stop,Stop,Stop,West,West
25,11,0,1,0,1,25,18,Stop,Stop,Stop,South,South
24,11,0,1,1,1,25,18,Stop,Stop,Stop,East,East
24,10,1,1,1,1,25,18,Stop,Stop,Stop,North,North
25,10,1,1,0,1,25,17,Stop,Stop,Stop,West,West
25,11,0,1,0,1,25,17,Stop,Stop,Stop,South,South
24,11,0,1,1,1,25,17,Stop,Stop,Stop,East,East
24,10,1,1,1,1,25,18,Stop,Stop,Stop,North,North
25,10,1,1,0,1,25,18,Stop,Stop,Stop,West,West
25,11,0,1,0,1,24,18,Stop,Stop,Stop,South,South
24,11,0,1,1,1,25,18,Stop,Stop,Stop,East,East
24,10,1,1,1,1,25,17,Stop,Stop,Stop,North,North
25,10,1,1,0,1,25,16,Stop,Stop,Stop,West,West
25,11,0,1,0,1,25,16,Stop,Stop,Stop,South,South
24,11,0,1,1,1,24,16,Stop,Stop,Stop,South,South
24,10,1,1,1,1,24,16,Stop,Stop,Stop,South,South
24,9,1,1,1,1,23,16,Stop,Stop,Stop,West,West
24,8,1,1,1,1,23,15,Stop,Stop,Stop,North,North
23,8,1,1,1,1,23,15,Stop,Stop,Stop,North,North
23,9,1,1,1,0,24,15,Stop,Stop,Stop,East,East
23,10,1,1,1,1,24,16,Stop,Stop,Stop,North,North
