@relation training_mediummaps.arff

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosthx numeric
@attribute Gosthy numeric
@attribute DirToGhost1{North,South,East,West,Stop}
@attribute DirToGhost2{North,South,East,West,Stop}
@attribute DirToGhost3{North,South,East,West,Stop}
@attribute DirToGhost4{North,South,East,West,Stop}
@attribute Move{North,South,East,West,Stop}
@data
9,1,0,0,1,1,8,5,West,West,West,West,West
8,1,0,0,1,1,9,5,West,West,West,West,West
7,1,0,0,1,1,3,5,North,North,North,North,North
6,1,1,0,1,0,3,6,North,North,North,North,North
6,2,1,1,0,0,3,6,West,East,East,East,West
6,3,1,1,1,1,3,7,West,West,West,West,West
5,3,0,0,1,1,3,7,West,West,West,West,West
4,3,0,1,1,1,3,7,North,North,North,North,North
3,3,1,0,1,0,4,7,North,North,North,North,North
3,4,1,1,0,0,4,7,East,East,East,East,East
3,5,1,1,1,1,4,7,East,East,East,East,East
4,5,0,0,1,1,4,7,East,East,East,East,East
5,5,0,0,1,1,8,5,North,North,North,North,North
6,5,1,1,0,1,3,7,North,North,North,North,North
6,6,1,1,0,0,4,7,West,East,East,East,West
6,7,1,1,1,1,9,6,Stop,West,West,West,West
5,7,0,0,1,1,9,5,Stop,North,North,North,North
4,7,1,0,1,1,8,5,Stop,North,North,North,North
4,8,1,1,0,0,8,5,Stop,West,West,West,West
4,9,0,1,0,1,9,7,Stop,West,West,West,West
3,9,0,0,1,1,8,7,Stop,West,West,West,West
2,9,0,0,1,1,8,7,Stop,South,South,South,South
1,9,0,1,1,0,9,7,Stop,South,South,South,South
1,8,1,1,0,0,8,5,Stop,South,South,South,South
1,7,1,1,0,0,8,5,Stop,South,South,South,South
1,6,1,1,0,0,9,5,Stop,East,East,East,East
1,5,1,1,1,0,8,5,Stop,East,East,East,East
2,5,0,0,1,1,9,5,Stop,East,East,East,East
3,5,1,1,1,1,9,5,Stop,East,East,East,East
4,5,0,0,1,1,9,5,Stop,East,East,East,East
