@relation 'training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R19-22,27-weka.filters.unsupervised.attribute.Remove-R3-6'

@attribute PacX numeric
@attribute PacY numeric
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute NearestFoodDist numeric
@attribute NumOfFood numeric
@attribute Score numeric
@attribute NextScore numeric

@data
12,10,5,6,5,12,13,6,13,12,11,9,5,3,7,1,0,-1
12,10,5,6,5,12,13,6,13,12,11,9,5,3,7,1,-1,-2
12,10,5,6,5,12,13,6,13,12,11,9,5,3,7,1,-2,-3
13,10,5,6,5,12,13,6,13,12,12,10,4,2,6,1,-3,-4
13,11,5,6,5,12,13,6,13,12,13,9,5,1,7,1,-4,195
13,12,5,6,5,12,13,6,7,1,14,8,6,-1,8,1,195,194
12,12,5,6,5,12,13,6,7,1,13,7,7,-1,9,1,194,193
11,12,5,6,5,12,13,6,7,1,12,6,8,-1,10,1,193,192
10,12,5,6,5,12,13,6,7,1,11,5,9,-1,11,1,192,191
9,12,5,6,5,12,13,6,7,1,10,4,10,-1,12,1,191,190
8,12,5,6,5,12,13,6,7,1,9,3,11,-1,13,1,190,189
7,12,5,6,5,12,13,6,7,1,8,2,12,-1,14,1,189,188
6,12,5,6,5,12,13,6,7,1,7,1,13,-1,15,1,188,387
5,12,5,6,3,1,13,6,7,1,6,-1,14,-1,16,1,387,386
5,11,5,6,3,1,13,6,7,1,5,-1,13,-1,15,1,386,385
6,11,5,6,3,1,13,6,7,1,6,-1,12,-1,14,1,385,384
7,11,5,6,3,1,13,6,7,1,7,-1,11,-1,13,1,384,383
7,10,5,6,3,1,13,6,7,1,6,-1,10,-1,12,1,383,382
7,9,5,6,3,1,13,6,7,1,5,-1,9,-1,11,1,382,381
6,9,5,6,3,1,13,6,7,1,4,-1,10,-1,12,1,381,380
5,9,5,6,3,1,13,6,7,1,3,-1,11,-1,13,1,380,379
5,8,5,6,3,1,13,6,7,1,2,-1,10,-1,14,1,379,378
5,7,5,6,3,1,13,6,7,1,1,-1,9,-1,15,1,378,577
5,6,1,1,3,1,13,6,7,1,-1,-1,8,-1,16,1,577,576
