@relation 'training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R19-22,27-weka.filters.unsupervised.attribute.Remove-R3-6-weka.filters.unsupervised.attribute.Remove-R1-10'

@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute NearestFoodDist numeric
@attribute NumOfFood numeric
@attribute Score numeric
@attribute NextScore numeric

@data
11,9,5,3,7,1,0,-1
11,9,5,3,7,1,-1,-2
11,9,5,3,7,1,-2,-3
12,10,4,2,6,1,-3,-4
13,9,5,1,7,1,-4,195
14,8,6,-1,8,1,195,194
13,7,7,-1,9,1,194,193
12,6,8,-1,10,1,193,192
11,5,9,-1,11,1,192,191
10,4,10,-1,12,1,191,190
9,3,11,-1,13,1,190,189
8,2,12,-1,14,1,189,188
7,1,13,-1,15,1,188,387
6,-1,14,-1,16,1,387,386
5,-1,13,-1,15,1,386,385
6,-1,12,-1,14,1,385,384
7,-1,11,-1,13,1,384,383
6,-1,10,-1,12,1,383,382
5,-1,9,-1,11,1,382,381
4,-1,10,-1,12,1,381,380
3,-1,11,-1,13,1,380,379
2,-1,10,-1,14,1,379,378
1,-1,9,-1,15,1,378,577
-1,-1,8,-1,16,1,577,576
-1,-1,7,-1,15,1,576,575
-1,-1,6,-1,14,1,575,574
-1,-1,5,-1,13,1,574,573
-1,-1,4,-1,12,1,573,572
-1,-1,3,-1,11,1,572,571
-1,-1,2,-1,10,1,571,570
11,9,5,3,7,1,0,-1
11,9,5,3,7,1,-1,-2
12,10,4,2,6,1,-2,-3
13,9,5,1,7,1,-3,196
14,8,6,-1,8,1,196,195
13,9,5,-1,7,1,195,194
12,10,4,-1,6,1,194,193
13,11,5,-1,5,1,193,192
14,12,6,-1,4,1,192,191
13,13,5,-1,3,1,191,190
14,14,6,-1,2,1,190,189
15,15,7,-1,1,1,189,288
16,16,8,-1,-1,0,288,287
17,15,9,-1,-1,0,287,286
18,14,10,-1,-1,0,286,285
17,15,9,-1,-1,0,285,284
16,14,8,-1,-1,0,284,283
15,15,7,-1,-1,0,283,282
14,16,6,-1,-1,0,282,281
13,17,5,-1,-1,0,281,280
12,18,4,-1,-1,0,280,279
13,19,5,-1,-1,0,279,278
12,18,4,-1,-1,0,278,277
11,17,3,-1,-1,0,277,276
10,16,2,-1,-1,0,276,275
11,17,3,-1,-1,0,275,274
12,18,4,-1,-1,0,274,273
13,19,5,-1,-1,0,273,272
12,18,4,-1,-1,0,272,271
11,17,3,-1,-1,0,271,270
10,16,2,-1,-1,0,270,269
9,15,1,-1,-1,0,269,268
