@relation 'training_keyboard.arff-weka.filters.unsupervised.attribute.Reorder-R1-25,27,26'

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute NearestFoodDist numeric
@attribute NumOfFood numeric
@attribute Score numeric
@attribute Direction {North,South,East,West,Stop}
@attribute NextScore numeric

@data
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,Stop,Stop,Stop,7,1,0,Stop,-1
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,Stop,Stop,Stop,7,1,-1,East,-2
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,Stop,Stop,Stop,7,1,-2,North,-3
13,10,1,1,1,1,5,6,5,12,13,6,13,12,12,10,4,2,Stop,Stop,Stop,Stop,6,1,-3,North,-4
13,11,1,1,1,1,5,6,5,12,13,6,13,12,13,9,5,1,Stop,Stop,Stop,Stop,7,1,-4,West,195
13,12,1,1,1,1,5,6,5,12,13,6,7,1,14,8,6,-1,Stop,Stop,Stop,Stop,8,1,195,West,194
12,12,1,1,1,1,5,6,5,12,13,6,7,1,13,7,7,-1,Stop,Stop,Stop,Stop,9,1,194,West,193
11,12,1,1,1,1,5,6,5,12,13,6,7,1,12,6,8,-1,Stop,Stop,Stop,Stop,10,1,193,West,192
10,12,1,1,1,1,5,6,5,12,13,6,7,1,11,5,9,-1,Stop,Stop,Stop,Stop,11,1,192,West,191
9,12,1,1,1,1,5,6,5,12,13,6,7,1,10,4,10,-1,Stop,Stop,Stop,Stop,12,1,191,West,190
8,12,1,1,1,1,5,6,5,12,13,6,7,1,9,3,11,-1,Stop,Stop,Stop,Stop,13,1,190,West,189
7,12,1,1,1,1,5,6,5,12,13,6,7,1,8,2,12,-1,Stop,Stop,Stop,Stop,14,1,189,West,188
6,12,1,1,1,1,5,6,5,12,13,6,7,1,7,1,13,-1,Stop,Stop,Stop,Stop,15,1,188,South,387
5,12,1,1,1,1,5,6,3,1,13,6,7,1,6,-1,14,-1,Stop,Stop,Stop,Stop,16,1,387,East,386
5,11,1,0,1,1,5,6,3,1,13,6,7,1,5,-1,13,-1,Stop,Stop,Stop,Stop,15,1,386,East,385
6,11,1,1,1,1,5,6,3,1,13,6,7,1,6,-1,12,-1,Stop,Stop,Stop,Stop,14,1,385,South,384
7,11,1,1,1,1,5,6,3,1,13,6,7,1,7,-1,11,-1,Stop,Stop,Stop,Stop,13,1,384,South,383
7,10,1,1,1,1,5,6,3,1,13,6,7,1,6,-1,10,-1,Stop,Stop,Stop,Stop,12,1,383,West,382
7,9,1,1,1,1,5,6,3,1,13,6,7,1,5,-1,9,-1,Stop,Stop,Stop,Stop,11,1,382,West,381
6,9,1,1,1,1,5,6,3,1,13,6,7,1,4,-1,10,-1,Stop,Stop,Stop,Stop,12,1,381,South,380
5,9,0,1,1,1,5,6,3,1,13,6,7,1,3,-1,11,-1,Stop,Stop,Stop,Stop,13,1,380,South,379
5,8,1,1,1,1,5,6,3,1,13,6,7,1,2,-1,10,-1,Stop,Stop,Stop,Stop,14,1,379,South,378
5,7,1,1,1,1,5,6,3,1,13,6,7,1,1,-1,9,-1,Stop,Stop,Stop,Stop,15,1,378,East,577
5,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,8,-1,Stop,Stop,Stop,Stop,16,1,577,East,576
6,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,7,-1,Stop,Stop,Stop,Stop,15,1,576,East,575
7,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,6,-1,Stop,Stop,Stop,Stop,14,1,575,East,574
8,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,5,-1,Stop,Stop,Stop,Stop,13,1,574,East,573
9,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,4,-1,Stop,Stop,Stop,Stop,12,1,573,East,572
10,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,3,-1,Stop,Stop,Stop,Stop,11,1,572,East,571
11,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,2,-1,Stop,Stop,Stop,Stop,10,1,571,East,570
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,Stop,Stop,Stop,7,1,0,East,-1
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,Stop,Stop,Stop,7,1,-1,North,-2
13,10,1,1,1,1,5,6,5,12,13,6,13,12,12,10,4,2,Stop,Stop,Stop,Stop,6,1,-2,North,-3
13,11,1,1,1,1,5,6,5,12,13,6,13,12,13,9,5,1,Stop,Stop,Stop,Stop,7,1,-3,South,196
13,12,1,1,1,1,5,6,5,12,13,6,7,1,14,8,6,-1,Stop,Stop,Stop,Stop,8,1,196,South,195
13,11,1,1,1,1,5,6,5,12,13,6,7,1,13,9,5,-1,Stop,Stop,Stop,Stop,7,1,195,East,194
13,10,1,1,1,1,5,6,5,12,13,6,7,1,12,10,4,-1,Stop,Stop,Stop,Stop,6,1,194,East,193
14,10,1,1,1,1,5,6,5,12,13,6,7,1,13,11,5,-1,Stop,Stop,Stop,Stop,5,1,193,South,192
15,10,1,1,1,1,5,6,5,12,13,6,7,1,14,12,6,-1,Stop,Stop,Stop,Stop,4,1,192,East,191
15,9,1,1,1,1,5,6,5,12,13,6,7,1,13,13,5,-1,Stop,Stop,Stop,Stop,3,1,191,East,190
16,9,1,1,1,1,5,6,5,12,13,6,7,1,14,14,6,-1,Stop,Stop,Stop,Stop,2,1,190,East,189
17,9,1,1,1,1,5,6,5,12,13,6,7,1,15,15,7,-1,Stop,Stop,Stop,Stop,1,1,189,North,288
18,9,1,1,0,1,5,6,5,12,13,6,7,1,16,16,8,-1,Stop,Stop,Stop,Stop,-1,0,288,North,287
18,10,1,1,0,1,5,6,5,12,13,6,7,1,17,15,9,-1,Stop,Stop,Stop,Stop,-1,0,287,South,286
18,11,1,1,0,1,5,6,5,12,13,6,7,1,18,14,10,-1,Stop,Stop,Stop,Stop,-1,0,286,West,285
18,10,1,1,0,1,5,6,5,12,13,6,7,1,17,15,9,-1,Stop,Stop,Stop,Stop,-1,0,285,South,284
17,10,1,1,1,1,5,6,5,12,13,6,7,1,16,14,8,-1,Stop,Stop,Stop,Stop,-1,0,284,South,283
17,9,1,1,1,1,5,6,5,12,13,6,7,1,15,15,7,-1,Stop,Stop,Stop,Stop,-1,0,283,South,282
17,8,1,1,1,1,5,6,5,12,13,6,7,1,14,16,6,-1,Stop,Stop,Stop,Stop,-1,0,282,South,281
17,7,1,1,1,1,5,6,5,12,13,6,7,1,13,17,5,-1,Stop,Stop,Stop,Stop,-1,0,281,South,280
17,6,1,1,1,1,5,6,5,12,13,6,7,1,12,18,4,-1,Stop,Stop,Stop,Stop,-1,0,280,West,279
17,5,1,1,1,1,5,6,5,12,13,6,7,1,13,19,5,-1,Stop,Stop,Stop,Stop,-1,0,279,North,278
16,5,1,1,1,1,5,6,5,12,13,6,7,1,12,18,4,-1,Stop,Stop,Stop,Stop,-1,0,278,West,277
16,6,1,1,1,1,5,6,5,12,13,6,7,1,11,17,3,-1,Stop,Stop,Stop,Stop,-1,0,277,South,276
15,6,1,1,1,1,5,6,5,12,13,6,7,1,10,16,2,-1,Stop,Stop,Stop,Stop,-1,0,276,South,275
15,5,1,1,1,1,5,6,5,12,13,6,7,1,11,17,3,-1,Stop,Stop,Stop,Stop,-1,0,275,South,274
15,4,1,1,1,1,5,6,5,12,13,6,7,1,12,18,4,-1,Stop,Stop,Stop,Stop,-1,0,274,North,273
15,3,1,0,1,1,5,6,5,12,13,6,7,1,13,19,5,-1,Stop,Stop,Stop,Stop,-1,0,273,North,272
15,4,1,1,1,1,5,6,5,12,13,6,7,1,12,18,4,-1,Stop,Stop,Stop,Stop,-1,0,272,North,271
15,5,1,1,1,1,5,6,5,12,13,6,7,1,11,17,3,-1,Stop,Stop,Stop,Stop,-1,0,271,West,270
15,6,1,1,1,1,5,6,5,12,13,6,7,1,10,16,2,-1,Stop,Stop,Stop,Stop,-1,0,270,North,269
14,6,1,1,1,1,5,6,5,12,13,6,7,1,9,15,1,-1,Stop,Stop,Stop,Stop,-1,0,269,South,268
14,7,1,1,1,1,5,6,5,12,13,6,7,1,10,14,2,-1,Stop,Stop,Stop,Stop,-1,0,268,South,267
14,6,1,1,1,1,5,6,5,12,13,6,7,1,9,15,1,-1,Stop,Stop,Stop,Stop,-1,0,267,West,266
14,5,1,1,1,1,5,6,5,12,13,6,7,1,10,16,2,-1,Stop,Stop,Stop,Stop,-1,0,266,West,265
13,5,1,1,1,1,5,6,5,12,13,6,7,1,9,15,1,-1,Stop,Stop,Stop,Stop,-1,0,265,North,264
12,5,1,1,1,1,5,6,5,12,13,6,7,1,8,14,2,-1,Stop,Stop,Stop,Stop,-1,0,264,East,263
12,6,1,1,1,1,5,6,5,12,13,6,7,1,7,13,1,-1,Stop,Stop,Stop,Stop,-1,0,263,South,462
13,6,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,-1,0,462,South,461
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,-1,0,461,North,460
13,4,1,1,1,1,5,6,5,12,5,1,7,1,10,16,-1,-1,Stop,Stop,Stop,Stop,-1,0,460,North,459
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,-1,0,459,South,458
13,6,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,-1,0,458,South,457
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,-1,0,457,North,456
13,4,1,1,1,1,5,6,5,12,5,1,7,1,10,16,-1,-1,Stop,Stop,Stop,Stop,-1,0,456,West,455
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,-1,0,455,West,454
12,5,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,-1,0,454,East,453
11,5,1,1,1,1,5,6,5,12,5,1,7,1,7,13,-1,-1,Stop,Stop,Stop,Stop,-1,0,453,East,452
12,5,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,-1,0,452,West,451
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,-1,0,451,West,450
12,5,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,-1,0,450,East,449
11,5,1,1,1,1,5,6,5,12,5,1,7,1,7,13,-1,-1,Stop,Stop,Stop,Stop,-1,0,449,East,448
12,5,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,-1,0,448,West,447
13,5,1,1,1,1,5,6,5,12,5,1,7,1,9,15,-1,-1,Stop,Stop,Stop,Stop,-1,0,447,West,446
12,5,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,-1,0,446,West,445
11,5,1,1,1,1,5,6,5,12,5,1,7,1,7,13,-1,-1,Stop,Stop,Stop,Stop,-1,0,445,West,444
10,5,1,1,1,1,5,6,5,12,5,1,7,1,6,12,-1,-1,Stop,Stop,Stop,Stop,-1,0,444,West,443
9,5,1,1,1,1,5,6,5,12,5,1,7,1,5,11,-1,-1,Stop,Stop,Stop,Stop,-1,0,443,North,442
8,5,1,1,1,1,5,6,5,12,5,1,7,1,4,10,-1,-1,Stop,Stop,Stop,Stop,-1,0,442,East,441
8,6,1,1,1,1,5,6,5,12,5,1,7,1,3,9,-1,-1,Stop,Stop,Stop,Stop,-1,0,441,South,440
9,6,1,1,1,1,5,6,5,12,5,1,7,1,4,10,-1,-1,Stop,Stop,Stop,Stop,-1,0,440,West,439
9,5,1,1,1,1,5,6,5,12,5,1,7,1,5,11,-1,-1,Stop,Stop,Stop,Stop,-1,0,439,West,438
8,5,1,1,1,1,5,6,5,12,5,1,7,1,4,10,-1,-1,Stop,Stop,Stop,Stop,-1,0,438,West,437
7,5,1,1,1,1,5,6,5,12,5,1,7,1,3,9,-1,-1,Stop,Stop,Stop,Stop,-1,0,437,South,436
6,5,1,1,1,1,5,6,5,12,5,1,7,1,2,8,-1,-1,Stop,Stop,Stop,Stop,-1,0,436,West,435
6,4,1,1,1,1,5,6,5,12,5,1,7,1,3,9,-1,-1,Stop,Stop,Stop,Stop,-1,0,435,West,434
