@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Reorder-R1-25,27,26'

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute NearestFoodDist numeric
@attribute NumOfFood numeric
@attribute Score numeric
@attribute Direction {North,South,East,West,Stop}
@attribute NextScore numeric

@data
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,South,West,East,West,7,1,0,East,-1
13,10,1,1,1,1,5,5,4,12,14,6,13,12,13,11,5,3,West,South,North,West,6,1,-1,South,-2
14,10,1,1,1,1,4,5,4,11,14,7,12,12,15,11,3,5,East,West,North,East,5,1,-2,South,-3
14,9,1,1,1,1,5,5,3,11,14,7,11,12,13,13,2,5,South,North,Stop,East,4,1,-3,South,-4
14,8,1,1,1,1,5,4,3,12,14,7,12,12,13,15,1,5,West,West,Stop,East,5,1,-4,West,195
14,7,1,1,1,1,4,4,2,12,5,1,13,12,13,17,-1,5,West,South,Stop,South,6,1,195,West,194
13,7,1,1,1,1,3,4,2,11,5,1,14,12,13,15,-1,5,North,South,Stop,North,7,1,194,West,193
12,7,1,1,1,1,3,5,2,11,5,1,14,11,11,14,-1,7,North,West,Stop,West,8,1,193,West,192
11,7,1,1,1,1,3,6,1,11,5,1,14,12,9,14,-1,7,North,West,Stop,West,9,1,192,West,191
10,7,1,1,1,1,3,7,1,11,5,1,13,12,7,13,-1,8,East,North,Stop,West,10,1,191,West,190
9,7,1,1,1,1,4,7,1,12,5,1,13,12,5,13,-1,8,East,North,Stop,South,11,1,190,West,189
8,7,1,1,1,1,4,7,1,12,5,1,12,12,4,12,-1,8,West,North,Stop,North,12,1,189,West,188
7,7,1,1,1,1,3,7,1,12,5,1,12,11,4,11,-1,10,East,North,Stop,North,13,1,188,West,187
6,7,1,1,1,1,4,7,1,13,5,1,12,12,2,11,-1,12,North,East,Stop,North,14,1,187,West,186
5,7,1,1,1,1,4,8,2,13,5,1,12,13,2,9,-1,13,West,South,Stop,East,15,1,186,West,185
4,7,1,1,1,1,3,8,2,12,5,1,12,13,2,7,-1,15,East,North,Stop,South,16,1,185,East,184
3,7,1,1,1,1,4,8,2,13,5,1,13,13,2,7,-1,15,West,South,Stop,South,17,1,184,West,183
4,7,1,1,1,1,3,8,2,12,5,1,13,12,2,7,-1,14,North,South,Stop,North,16,1,183,North,182
3,7,1,1,1,1,3,9,2,11,5,1,13,12,2,5,-1,16,East,North,Stop,South,17,1,182,East,181
3,8,1,1,1,1,4,9,2,12,5,1,13,13,2,5,-1,14,West,South,Stop,North,16,1,181,West,180
4,8,1,1,1,1,3,9,2,11,5,1,13,12,2,5,-1,14,Stop,South,Stop,South,15,1,180,West,379
3,8,1,1,1,1,1,1,2,11,5,1,13,13,-1,4,-1,14,Stop,East,Stop,North,16,1,379,East,378
2,8,1,1,1,1,1,1,3,11,5,1,13,12,-1,4,-1,16,Stop,West,Stop,South,17,1,378,West,377
3,8,1,1,1,1,1,1,2,11,5,1,13,13,-1,4,-1,14,Stop,East,Stop,West,16,1,377,East,376
2,8,1,1,1,1,1,1,3,11,5,1,13,12,-1,4,-1,14,Stop,East,Stop,West,17,1,376,North,375
3,8,1,1,1,1,1,1,3,11,5,1,12,12,-1,3,-1,13,Stop,East,Stop,South,16,1,375,East,374
3,9,0,1,1,1,1,1,4,11,5,1,12,12,-1,3,-1,11,Stop,East,Stop,South,15,1,374,East,373
4,9,0,1,1,1,1,1,4,11,5,1,12,11,-1,2,-1,10,Stop,West,Stop,North,14,1,373,East,372
5,9,0,1,1,1,1,1,3,11,5,1,12,11,-1,4,-1,10,Stop,North,Stop,North,13,1,372,North,371
6,9,1,1,1,1,1,1,3,12,5,1,12,12,-1,6,-1,10,Stop,North,Stop,West,12,1,371,North,370
6,10,1,1,1,0,1,1,3,13,5,1,12,13,-1,6,-1,8,Stop,South,Stop,West,13,1,370,West,369
6,11,1,1,1,1,1,1,3,12,5,1,11,13,-1,4,-1,7,Stop,East,Stop,South,14,1,369,West,368
5,11,1,0,1,1,1,1,4,12,5,1,11,13,-1,2,-1,7,Stop,East,Stop,South,15,1,368,East,367
4,11,1,0,1,1,1,1,5,12,5,1,11,12,-1,2,-1,7,Stop,Stop,Stop,West,16,1,367,North,366
5,11,1,0,1,1,1,1,5,12,5,1,11,11,-1,1,-1,5,Stop,Stop,Stop,North,15,1,366,East,565
5,12,1,1,1,1,1,1,3,1,5,1,10,11,-1,-1,-1,5,Stop,Stop,Stop,West,16,1,565,East,564
6,12,1,1,1,1,1,1,3,1,5,1,10,12,-1,-1,-1,3,Stop,Stop,Stop,East,15,1,564,East,563
7,12,1,1,1,1,1,1,3,1,5,1,9,12,-1,-1,-1,3,Stop,Stop,Stop,South,14,1,563,East,562
8,12,1,1,1,1,1,1,3,1,5,1,10,12,-1,-1,-1,3,Stop,Stop,Stop,South,13,1,562,East,561
9,12,1,1,1,1,1,1,3,1,5,1,10,11,-1,-1,-1,2,Stop,Stop,Stop,West,12,1,561,South,560
10,12,1,1,1,1,1,1,3,1,5,1,10,11,-1,-1,-1,2,Stop,Stop,Stop,North,11,1,560,West,559
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,West,South,North,East,7,1,0,South,-1
13,10,1,1,1,1,4,6,5,11,13,7,13,12,13,9,3,3,West,East,North,South,6,1,-1,South,-2
